match_id,game_id,team,score_team,opponent,score_opp,win_lose,map,map_pick
53658,119512,ZETA,5,DRX,13,opponent win,Ascent,opponent pick
53658,119512,DRX,13,ZETA,5,team win,Ascent,team pick
53658,119513,ZETA,5,DRX,13,opponent win,Pearl,team pick
53658,119513,DRX,13,ZETA,5,team win,Pearl,opponent pick
53659,119515,T1,13,GE,8,team win,Pearl,opponent pick
53659,119515,GE,8,T1,13,opponent win,Pearl,team pick
53659,119516,T1,4,GE,13,opponent win,Haven,team pick
53659,119516,GE,13,T1,4,team win,Haven,opponent pick
53659,119517,T1,13,GE,7,team win,Lotus,opponent pick
53659,119517,GE,7,T1,13,opponent win,Lotus,opponent pick
53660,119518,PRX,13,DFM,5,team win,Pearl,team pick
53660,119518,DFM,5,PRX,13,opponent win,Pearl,opponent pick
53660,119519,PRX,13,DFM,11,team win,Lotus,opponent pick
53660,119519,DFM,11,PRX,13,opponent win,Lotus,team pick
53661,119521,TS,13,TLN,5,team win,Ascent,opponent pick
53661,119521,TLN,5,TS,13,opponent win,Ascent,team pick
53661,119522,TS,8,TLN,13,opponent win,Icebox,team pick
53661,119522,TLN,13,TS,8,team win,Icebox,opponent pick
53661,119523,TS,13,TLN,3,team win,Fracture,opponent pick
53661,119523,TLN,3,TS,13,opponent win,Fracture,opponent pick
53662,119524,RRQ,9,GEN,13,opponent win,Fracture,opponent pick
53662,119524,GEN,13,RRQ,9,team win,Fracture,team pick
53662,119525,RRQ,6,GEN,13,opponent win,Lotus,team pick
53662,119525,GEN,13,RRQ,6,team win,Lotus,opponent pick
53663,119527,ZETA,10,RRQ,13,opponent win,Haven,team pick
53663,119527,RRQ,13,ZETA,10,team win,Haven,opponent pick
53663,119528,ZETA,13,RRQ,10,team win,Ascent,opponent pick
53663,119528,RRQ,10,ZETA,13,opponent win,Ascent,team pick
53663,119529,ZETA,13,RRQ,5,team win,Lotus,opponent pick
53663,119529,RRQ,5,ZETA,13,opponent win,Lotus,opponent pick
53664,119530,TLN,8,T1,13,opponent win,Ascent,opponent pick
53664,119530,T1,13,TLN,8,team win,Ascent,team pick
53664,119531,TLN,6,T1,13,opponent win,Haven,team pick
