game_id,player_id,player,agent,acs,kill,death,assist
119512,6668,SugarZ3ro,omen,114,7,16,8
119512,488,Rb,killjoy,125,10,10,0
119513,1395,TENNN,killjoy,111,7,16,1
119513,11600,Foxy9,jett,178,13,13,0
119515,4545,Sayaplayer,jett,189,15,12,1
119515,8497,Monyet,astra,93,6,17,8
119516,31207,Carpe,breach,108,5,14,3
119516,8497,Monyet,omen,122,7,12,10
119517,31207,Carpe,skye,178,13,12,10
119517,824,AYRIN,killjoy,93,6,15,2
119518,9800,mindfreak,astra,119,8,13,2
119518,7718,xnfri,harbor,143,8,14,10
119519,9801,f0rsakeN,yoru,150,11,22,7
119519,1002,takej,viper,137,10,17,11
119521,2334,JessieVash,sova,192,11,12,6
119521,3977,Crws,astra,182,11,15,10
119522,2333,BORKUM,viper,116,7,17,7
119522,2452,Patiphan,harbor,260,20,17,9
119523,7405,Jremy,raze,201,9,12,5
119523,3977,Crws,brimstone,171,8,14,3
119524,7764,Lmemore,cypher,166,12,20,6
119524,983,TS,astra,205,15,16,10
119525,9735,2ge,omen,141,11,14,4
119525,983,TS,omen,140,10,14,6
119527,999,Laz,sova,118,7,18,7
119527,7045,fl1pzjder,breach,173,14,17,11
119528,1000,crow,kayo,147,9,17,16
119528,7045,fl1pzjder,kayo,144,10,17,15
119529,999,Laz,fade,82,5,12,5
119529,4871,xffero,skye,164,9,17,7
119530,3342,Sushiboys,killjoy,166,12,16,2
119530,5129,ban,omen,172,14,13,11
119531,6723,foxz,gekko,158,10,17,2
119531,31207,Carpe,breach,138,9,14,11
119533,8504,invy,breach,146,11,18,14
119533,9801,f0rsakeN,yoru,183,14,20,8
119534,7405,Jremy,raze,166,13,19,4
119534,9800,mindfreak,viper,197,16,17,7
119535,2334,JessieVash,cypher,131,11,11,5
119535,9800,mindfreak,astra,85,6,17,6
119536,13039,Meteor,jett,208,16,17,2
119536,1003,Reita,cypher,130,8,15,4
119537,13039,Meteor,raze,167,8,15,3
