Player,Team,Nationality,Role
Demon1,Evil Geniuses,United States,Flex
Boostio,Evil Geniuses,United States,Flex
 jawgemo,Evil Geniuses,Cambodia,Flex
Ethan,Evil Geniuses,United States,Flex
C0M,Evil Geniuses,United States,Flex
something,Paper Rex,Russia,Duelist
Jinggg,Paper Rex,Singapore,Duelist
f0rsakeN,Paper Rex,Indonesia,Flex
d4v41,Paper Rex,Malaysia,Flex
mindfreak,Paper Rex,Indonesia,Controller
aspas,LOUD,Brazil,Duelist
Less,LOUD,Brazil,Flex
cauanzin,LOUD,Brazil,Initiator
tuyz,LOUD,Brazil,Controller
saadhak,LOUD,Argentina,Flex
Boaster,FNATIC,United Kingdom,Controller
Alfajer,FNATIC,Turkey,Sentinal
Derke,FNATIC,Finland,Duelist
Leo,FNATIC,Sweden,Initiator
Chronical,FNATIC,Russia,Flex
ZmjjKK,EDward Gaming,China,Duelist
CHICHOO,EDward Gaming,China,Flex
Smoggy,EDward Gaming,China,Flex
nobody,EDward Gaming,China,Initiator
Haodong,EDward Gaming,China,Controller
MaKo,DRX,South Korea,Controller
BuZz,DRX,South Korea,Duelist
Zest,DRX,South Korea,Flex
stax,DRX,South Korea,Initiator
Rb,DRX,South Korea,Sentinal
MrFalin,FUT Esports,Turkey,Flex
AtaKaptan,FUT Esports,Turkey,Controller
qRaxs,FUT Esports,Turkey,Initiator
MOJJ,FUT Esports,Turkey,Flex
qw1,FUT Esports,Turkey,Duelist
whzy,Bilibili Gaming,China,Duelist
Yosemite,Bilibili Gaming,China,Flex
Biank,Bilibili Gaming,China,Initiator
Knight,Bilibili Gaming,China,Flex
rin,Bilibili Gaming,China,Controller
